participant,condition,gender,age,region,distanceLondon,stimulus,response,reactionTime
f12,femaleFace,female,21,northern,168.981,11,boo,2.440717652
f12,femaleFace,female,21,northern,168.981,11,boo,2.285817112
f12,femaleFace,female,21,northern,168.981,11,boo,3.07384506
f13,femaleFace,female,21,midlands,136.703,1,bee,2.035096051
f13,femaleFace,female,21,midlands,136.703,1,bee,2.332796231
f13,femaleFace,female,21,midlands,136.703,1,bee,2.095076374
f13,femaleFace,female,21,midlands,136.703,2,bee,1.946999048
f13,femaleFace,female,21,midlands,136.703,2,bee,2.304373991
f13,femaleFace,female,21,midlands,136.703,2,boo,2.596582016
f13,femaleFace,female,21,midlands,136.703,3,bee,2.29647654
f13,femaleFace,female,21,midlands,136.703,3,boo,2.034535313
f13,femaleFace,female,21,midlands,136.703,3,boo,2.065820957
f13,femaleFace,female,21,midlands,136.703,4,boo,2.062216744
f13,femaleFace,female,21,midlands,136.703,4,boo,2.069018844
f13,femaleFace,female,21,midlands,136.703,4,boo,2.089773153
f13,femaleFace,female,21,midlands,136.703,5,boo,2.153682841
f13,femaleFace,female,21,midlands,136.703,5,boo,2.004743416
f13,femaleFace,female,21,midlands,136.703,5,boo,2.151702997
f13,femaleFace,female,21,midlands,136.703,6,boo,1.940176423
f13,femaleFace,female,21,midlands,136.703,6,boo,2.053472121
f13,femaleFace,female,21,midlands,136.703,6,boo,2.202573424
f13,femaleFace,female,21,midlands,136.703,7,boo,1.905690093
f13,femaleFace,female,21,midlands,136.703,7,boo,1.896518618
f13,femaleFace,female,21,midlands,136.703,7,boo,2.099020668
f13,femaleFace,female,21,midlands,136.703,8,boo,2.463412302
f13,femaleFace,female,21,midlands,136.703,8,boo,1.970265016
f13,femaleFace,female,21,midlands,136.703,8,boo,2.00557286
f13,femaleFace,female,21,midlands,136.703,9,boo,2.106717988
f13,femaleFace,female,21,midlands,136.703,9,boo,2.021084128
f13,femaleFace,female,21,midlands,136.703,9,boo,1.971668261
f13,femaleFace,female,21,midlands,136.703,10,boo,1.901234977
